"","label","rawValidateRSD","SERRFValidateRSD"
"27","Cyclotrisiloxane, hexamethyl-",0.34714725571645,0.194502064156007
"28","Butanedioic acid, dimethyl ester",0.198986387972048,0.0892963537739291
"29","( Lactic acid",0.474526065641795,0.377523593328139
"30","Octanoic acid, methyl ester",0.239896817488024,0.206045611085656
"31","Dodecane",0.191285506458793,0.0796528265006349
"32","E-2-Hexenyl benzoate",0.277326012283994,0.210241002473981
"33","Benzene, pentyl-",0.291409072584597,0.156553630700685
"34","3-ethylidene-1-azetidinecarboxylic acid methyl ester",0.207324564325984,0.142531540320783
"35","2-Chloro-4-iodo-3-methylaniline",0.448352316003767,0.131728738308992
"36","( 2-Hydroxybutyric acid",0.434046711277442,0.387656589216589
"37","1,2,4-Triazine-3,5(2H,4H)-dione, 6-(1,1-dimethylethyl)-",0.201234111353927,0.0841930860120858
"38","1-piperidinecarboxylic acid methyl ester",0.182238885815796,0.0540217792952895
"39","2-methyl-4-(2-methylpropoxy)-2-pentanol",0.963830265065184,0.939384735826896
"40","Arecoline",0.194613567520731,0.0872096539350514
"41","1-methoxy-2-methyl-propane",0.749063131936561,0.70787495451046
"42","1-(2-Oxolanylmethyl)piperazine",0.154059059041886,0.084812666433172
"43","( D4_alanine",0.157613290077971,0.070443708221142
"44","Malonic acid, 10-chlorodecyl pentyl ester",0.160250142983369,0.0790018515498798
"45","Carbamic acid, butylmethyl-, methyl ester",0.235149485314427,0.143281760821619
"46","Benzeneethanol, .alpha.,.alpha.,4-trimethyl-",0.30656304686488,0.297693389548582
"47","3,3,4-Trimethyl-1,3-dihydro-pyrrole-2-thione",0.259921812343554,0.202678644818933
"48","Methyl salicylate",4.05523005952609,3.56119760838947
"49","5,6-Epoxy-6-methyl-2-heptanone",0.319818639567452,0.279416186649653
"50","Cyclohexasiloxane, dodecamethyl-",0.428462584394457,0.170194002103794
"51","4-Piperidinol, 1-ethyl-2,3-dimethyl-",0.156081593455217,0.047611654863085
"52","5-Octenoic acid, 6-methyl-",0.324115731985606,0.228401724639765
"53","Glycine, N-(methoxycarbonyl)-, methyl ester",0.344793502066219,0.273767940264037
"54","1-Aminocyclopentanecarboxylic acid, N-methoxycarbonyl-, methyl ester",0.26778679543416,0.0850945154984245
"55","1-(methoxycarbonyl)-4-methyl-1,4,5,6-tetrahydropyridine",1.22833257380198,5.63992408216308
"56","Methyl (2E)-4-amino-5-methyl-2-hexenoate",0.716630557963577,0.560650536853688
"57","L-2-Aminobutyric acid, N-methoxycarbonyl-, methyl ester",0.338645287429538,0.282924003758966
"58","3-Piperidinol, 1-(1,1-dimethylethyl)-4-methyl-",0.24414077219455,0.0816171008941401
"59","Decanoic acid, methyl ester",0.531637197028255,0.519556765082314
"60","Benzenepropanoic acid, methyl ester",0.82886640666536,0.770501273006644
"61","Tetradecane",0.18412673047731,0.0653388222489975
"62","L-Valine, N-(methoxycarbonyl)-, methyl ester",0.262014997277146,0.151704839678372
"63","Acetic acid, phenoxy-, methyl ester",2.11795124852658,3.26697426791999
"64","Cycloheptasiloxane, tetradecamethyl-",0.334718018019935,0.14950364594739
"65","L-Leucine, N-(methoxycarbonyl)-, methyl ester",0.302004440909776,0.201432479185014
"66","4,4-Dichloro-2-phenyl-1-butene",0.44164137557969,0.202010476562571
"67","L-Isoleucine, N-(methoxycarbonyl)-, methyl ester",0.328916019839166,0.227957140703944
"68","Ethane, 1,1,2,2-tetraethoxy-",0.391643610593314,0.346144602182814
"69","3-(2-Methyl-1,3-dioxolan-2-yl)-6-methylpyridine",0.187205767907934,0.0977995019880699
"70","Glycine, N-ethyl-N-(2-methoxyethoxycarbonyl)-, isobutyl ester",0.255888171721641,0.151162309655194
"71","Ethyl 2,5,8,11,14,17-hexaoxanonadecan-19-oate",1.06039967323298,0.837646925542585
"72","L-Proline, N-(methoxycarbonyl)-, methyl ester",0.322961406098839,0.234010829076272
"73","2,4,7,9-Tetramethyl-5-decyn-4,7-diol",0.273101869240918,0.216553815859743
"74","2,5-Furandicarboxylic acid, dimethyl ester",0.946702506630526,1.02649047623255
"75","Dodecanoic acid, methyl ester",1.06416239662763,1.12047879257038
"76","Hexadecane",0.214994946483874,0.171960407579528
"77","Ethyl 4-oxo-2-phenylpentanoate",0.289549938698605,0.143530733216317
"78","L-Lysine, N2,N6-bis(methoxycarbonyl)-, methyl ester",0.464338025804051,0.40160390185449
"79","L-Threonine, N-(methoxycarbonyl)-, methyl ester",0.385834580150749,0.205928824737569
"80","Valine, N-methyl-N-(2-methoxyethoxycarbonyl)-, pentyl ester",0.270774439504686,0.163376193616647
"81","Cyclooctasiloxane, hexadecamethyl-",0.442483446061433,0.18023240518717
"82","Dimethyl phthalate",1.13755030900637,1.09107938585176
"83","L-Aspartic acid, N-methoxycarbonyl-, dimethyl ester",0.397625037000238,0.265878993340168
"84","L-Aspartic acid, N-methoxycarbonyl-, dimethyl ester_1",0.277976929658572,0.155921141252303
"85","Citric acid, trimethyl ester",0.428356579773032,0.259947918132777
"86","2,4-Di-tert-butylphenol",0.194170065384508,0.0640505647278379
"87","L-Proline, 5-oxo-, methyl ester",0.286997093915279,0.216349289744813
"88","D-Phenylalanine, N-benzyl-N-trifluoroacetyl-, methyl ester",0.437333722868729,0.227809930381713
"89","L-Alanine, 3-cyano-, N-methoxycarbonyl-, methyl ester",0.271024818535887,0.178394894307603
"90","( D4_alanine_1",0.522446218814645,0.324558337660825
"91","1,2-Propanediol, diacetate",0.495761283923109,0.292434278577439
"92","( Creatinine",0.328735748231449,0.225763085606756
"93","Salicylic acid, O-carbomethoxy-, methyl ester",12.2453455884161,8.06105659660684
"94","L-Threonine, N,O-bis(methoxycarbonyl)-, methyl ester",0.304802418104158,0.184860021686856
"95","2-Aminocaprylic acid, N-(2-methoxyethylcarbonyl)-, isohexyl ester",0.284227757166198,0.148955688085865
"96","Benzoic acid, 3,5-bis(1,1-dimethylethyl)-4-hydroxy-, methyl ester",0.273887791147077,0.118289969226491
"97","2,6-Diisopropylnaphthalene",2.07933474341449,1.68412197821689
"98","(E)-methyl 5-(6-fluoropyridin-3-yl)-5-hydroxypent-2-enoate",4.85206371628058,1.08813317206388
"99","Myristic acid, methyl ester",0.380099942284024,0.286230196751946
"100","Cyclononasiloxane, octadecamethyl-",0.367343790186004,0.153487932905508
"101","L-Valine, N-(methoxycarbonyl)-, methyl ester_1",0.538247453117185,0.288499085645952
"102","3-Morpholino-1,2-propanediol",0.430259355998379,0.219440920013975
"103","L-Glutamic acid, N-(methoxycarbonyl)-, dimethyl ester",0.429692912434527,0.349415738107209
"104","L-Methionine, N-(methoxycarbonyl)-, methyl ester",0.309571091857997,0.215904271826415
"105","5-Aminoimidazole-4-carboxylic acid, methyl ester",0.24915688707658,0.153202626100125
"106","5-Aminoimidazole-4-carboxylic acid, methyl ester_1",0.585323290409301,0.334612869169396
"107","Pentadecanoic acid, methyl ester",0.332431063004739,0.166279784415012
"108","1-Propene-1,2,3-tricarboxylic acid, trimethyl ester, (Z)-",0.267222544663534,0.185125850613872
"109","L-Phenylalanine, N-(methoxycarbonyl)-, methyl ester",0.251560640492883,0.149372084533449
"110","(1E)-1-phenyl-1-cyclopropanecarboxaldehyde oxime",0.394253056225121,0.343431721556315
"111","L-Cysteine N,S-bis(methoxycarbonyl)-, methyl ester",0.340992454192423,0.245344079588033
"112","2-(3-keto-3-methoxy-propyl)-4-methyl-5-propyl-furan-3-carboxylic acid methyl ester",1.01931921074448,0.976263790768507
"113","methyl 3-(3,5-dimethoxyphenyl)propanoate",4.77426937154891,5.30876923100177
"114","2,2,4,4,6,6,8,8,10,10,12,12,14,14,16,16,18,18,20,20-Icosamethylcyclodecasiloxane",0.457050327259727,0.220897609172149
"115","Hexadecanoic acid, methyl ester",0.358658624144917,0.203934223897264
"116","Prolinamide, N-methoxycarbonyl-",0.596119943029148,0.387306750615277
"117","9-Hexadecenoic acid, methyl ester, (Z)-",0.436208772434143,0.327365605682562
"118","Hexadecanoic acid, methyl ester_1",0.244461307886537,0.10112677200461
"119","L-Lysine, N2,N6-bis(methoxycarbonyl)-, methyl ester_1",0.493996221259118,0.206183811488855
"120","1,2-Benzenedicarboxylic acid, bis(2-methylpropyl) ester",1.49917647001214,0.340711512399595
"121","Heptadecanoic acid, methyl ester",0.408414812637537,0.261430169711708
"122","Cyclododecasiloxane, tetracosamethyl-",0.316541654903798,0.197835357887389
"123","Heptadecanoic acid, methyl ester_1",0.296392985802588,0.142956942973422
"124","Palmitic Acid, TMS derivative",0.589794561556535,0.585308120107835
"125","Methyl 2,3-di-O-acetyl-4,6-dideoxy-beta,D-erythro-hex-4-enorpyranosyl(1-4)-2,3-di-Omethyl-alpha,D-galactopyranoside",0.472041298542327,0.185494205819107
"126","Caffeine",1.06635702621325,1.02674320233124
"127","Dibutyl isophthalate",0.647758535230832,0.213436776765781
"128","Hexadecanoic acid, 3,7,11,15-tetramethyl-, methyl ester",0.450241631865893,0.370772737164143
"129","9-Octadecenoic acid (Z)-, methyl ester",0.272483156835798,0.153113687681265
"130","9,12-Octadecadienoic acid (Z,Z)-, methyl ester",0.276340882549967,0.149712756138118
"131","N-[2-(4-Methoxyphenyl)-4H-chromen-4-ylidene)-N-methylamine",0.639702318955782,0.631888121406958
"132","Methyl stearate",0.231368828826215,0.0896694440758957
"133","9,12,15-Octadecatrienoic acid, methyl ester, (Z,Z,Z)-",0.476241607412187,0.433988371136284
"134","Methyl 2-ethylhexyl phthalate",0.541231016429512,0.156069887091467
"135","Cyclononasiloxane, octadecamethyl-_1",1.02524519229344,0.946087516386086
"136","( Ornithine",0.431608876820759,0.224313974784265
"137","Methyl 9-cis,11-trans-octadecadienoate",0.474588611473159,0.434951474084692
"138","L-Glutamine, N2-(methoxycarbonyl)-, methyl ester",0.619295584078141,0.32891873774154
"139","L-Tyrosine, N,O-bis(methoxycarbonyl)-, methyl ester",0.535918571049594,0.226553339187197
"140","Methyl 9-cis,11-trans-octadecadienoate_1",0.954751155958744,1.17849243776598
"141","1,4-piperazinediacetic acid, 2-oxo-, dimethyl ester",14.0702889773511,15.9130344568803
"142","Nonadecanoic acid, methyl ester",0.314301055119699,0.185228858133047
"143","Carbamic acid, butylmethyl-, methyl ester_1",0.674894305739679,0.620105347259024
"144","(4-Acetylamino-phenoxy)-acetic acid",1.80675361398289,2.35528901387349
"145","L-Lysine, N2,N6-bis(methoxycarbonyl)-, methyl ester_2",0.385597329592792,0.163429428736895
"146","5,8,11,14-Eicosatetraenoic acid, methyl ester, (all-Z)-",0.317116784649193,0.179446386693511
"147","8,11,14-Eicosatrienoic acid, methyl ester, (Z,Z,Z)-",0.365179903053623,0.233920981809001
"148","5,8,11,14,17-Eicosapentaenoic acid, methyl ester, (all-Z)-",0.740959675293253,0.709502110536378
"149","cis-11,14-Eicosadienoic acid, methyl ester",0.276981263760795,0.144574903143601
"150",".omega.-3 Arachidonic Acid methyl ester",0.473355907680151,0.361409994471069
"151","Eicosanoic acid, methyl ester",0.261667101936586,0.16063214993571
"152","2,6-Diamino-N(9)-ethynylpurine",1.45981667498371,6.37816646917329
"153","( Histidine",0.585520353042592,0.217224081183962
"154","Palmitoyl chloride",0.530387715311692,0.386059145978028
"155","2-[2-[bis(2-keto-2-methoxy-ethyl)amino]ethyl-(2-keto-2-methoxy-ethyl)amino]acetic acid methyl ester",17.9394204705652,6.41098802138821
"156","L-Tyrosine, N-(methoxycarbonyl)-, methyl ester",0.379591746999184,0.263725335627451
"157","L-Tyrosine, N,O-bis(methoxycarbonyl)-, methyl ester_1",0.378915090612417,0.198206515316002
"158","Tetracosamethyl-cyclododecasiloxane",0.400864505733491,0.212795493353336
"159","L-Lysine, N2,N6-bis(methoxycarbonyl)-, methyl ester_3",0.474455194954967,0.173970270939414
"160","2-Ethoxycarbonyl-2-(4-phenyl-2-butenyl)cyclopentanone",0.516226823122946,0.22688504662258
"161","Methyl 4,7,10,13,16-docosapentaenoate",0.464507203764188,0.318545151280805
"162","cis-7,10,13,16-Docosatetraenoic acid, methyl ester",0.393784281439493,0.221493015175372
"163","4,7,10,13,16,19-Docosahexaenoic acid, methyl ester, (all-Z)-",0.417140604203926,0.253384884627807
"164","Docosapentaenoic Acid methyl ester",0.352620265301205,0.186696316602321
"165","11-(3,4-Dimethyl-5-pentyl-2-furyl)-dodecanoic acid, methyl ester",0.464123059497033,0.320377862948145
"166","Cyclohexane, 1,3,5-triphenyl-",0.581431072117791,0.261307255535654
"167","Tetracosamethyl-cyclododecasiloxane_1",0.348269966478251,0.248147527766851
"168","(Z)-Docos-9-enenitrile",0.493411462824766,0.218746338775611
"169","Phenol, 2,4-bis(1-methyl-1-phenylethyl)-",0.334721329962128,0.245044991838801
"170","Bis(2-ethylhexyl) phthalate",0.227498484945293,0.069951061548827
"171","L-Tryptophan, N-(methoxycarbonyl)-, methyl ester",0.382260331944324,0.138938763670915
"172","Unknown",0.371941464634691,0.140440349397832
"173","Methyl 5-N-[(1-Phenylcyclohexyl)amino]pentanoate",1.06641775013332,6.69512695972707
"174","Cholest-5-en-3-ol (3.beta.)-, carbonochloridate",0.358869222209514,0.166043515024484
"175","13-Docosenamide, (Z)-",0.670954069703297,0.129352475609032
"176","6-(Perfluorophenyl)uracil",0.627615208006761,0.62452620631414
"177","Cholesterol, trifluoroacetate",0.371684039881534,0.171962526401149
"178","Unknown_1",0.601942981664145,0.369431053111373
"179","Cholesta-4,6-dien-3-ol, benzoate, (3.beta.)-",0.352027717420546,0.17174145099694
"180","Cholesta-4,6-dien-3-ol, (3.beta.)-",1.087955786453,1.12980314718247
"181","Cholest-5-en-3-ol (3.beta.)-, carbonochloridate_1",0.348506967381449,0.140024290286563
"182","Cholesterol, chlorodifluoroacetate",0.348684537063958,0.130572269392336
"183","Unknown_2",0.973315522152967,0.68819029112315
"184","1,8-Dibutyl-naphthalene",0.70272534977733,0.275102102526044
"185","13-Docosenamide, (Z)-_1",0.60142771931258,0.111132282087927
"186","Unknown_3",0.63764114155327,0.115220317694314
"187","13-Docosenamide, (Z)-_2",0.608582205690229,0.113446712249899
"188","13-Docosenamide, (Z)-_3",0.632154366544746,0.101412391842704
"189","Unknown_4",0.594293454257822,0.148102611312892
"190","13-Docosenamide, (Z)-_4",0.646554793796396,0.116159397529707
"191","Unknown_5",0.613901483836547,0.157050305650873
"192","Unknown_6",0.613414372330559,0.117839601940472
"193","Unknown_7",0.639225294830265,0.246885349882337
"194","Cholest-5-ene, 3.beta.-chloro-",0.367873828800862,0.254892039712227
"195","Cholest-5-en-3-ol (3.beta.)-",0.349619410840669,0.207383466507949
"196","Vitamin E",1.02725057115626,0.380872303552996
"197",".gamma.-Tocopherol, TMS derivative",0.315387692946266,0.229150753675642
"198","Cholest-5-en-7-one, 3-(acetyloxy)-, (3.beta.)-",0.496327393987883,0.287418860611652
