"","label","No"
"66","4,4-Dichloro-2-phenyl-1-butene",65
"67","L-Isoleucine, N-(methoxycarbonyl)-, methyl ester",66
"68","Ethane, 1,1,2,2-tetraethoxy-",67
"69","3-(2-Methyl-1,3-dioxolan-2-yl)-6-methylpyridine",68
"70","Glycine, N-ethyl-N-(2-methoxyethoxycarbonyl)-, isobutyl ester",69
"71","Ethyl 2,5,8,11,14,17-hexaoxanonadecan-19-oate",70
"72","L-Proline, N-(methoxycarbonyl)-, methyl ester",71
"73","2,4,7,9-Tetramethyl-5-decyn-4,7-diol",72
"74","2,5-Furandicarboxylic acid, dimethyl ester",73
"75","Dodecanoic acid, methyl ester",74
"76","Hexadecane",75
"77","Ethyl 4-oxo-2-phenylpentanoate",76
"78","L-Lysine, N2,N6-bis(methoxycarbonyl)-, methyl ester",77
"79","L-Threonine, N-(methoxycarbonyl)-, methyl ester",78
"80","Valine, N-methyl-N-(2-methoxyethoxycarbonyl)-, pentyl ester",79
"81","Cyclooctasiloxane, hexadecamethyl-",80
"82","Dimethyl phthalate",81
"83","L-Aspartic acid, N-methoxycarbonyl-, dimethyl ester",82
"84","L-Aspartic acid, N-methoxycarbonyl-, dimethyl ester_1",83
"85","Citric acid, trimethyl ester",84
"86","2,4-Di-tert-butylphenol",85
"87","L-Proline, 5-oxo-, methyl ester",86
"88","D-Phenylalanine, N-benzyl-N-trifluoroacetyl-, methyl ester",87
"89","L-Alanine, 3-cyano-, N-methoxycarbonyl-, methyl ester",88
"90","( D4_alanine_1",89
"91","1,2-Propanediol, diacetate",90
"92","( Creatinine",91
"93","Salicylic acid, O-carbomethoxy-, methyl ester",92
"94","L-Threonine, N,O-bis(methoxycarbonyl)-, methyl ester",93
"95","2-Aminocaprylic acid, N-(2-methoxyethylcarbonyl)-, isohexyl ester",94
"96","Benzoic acid, 3,5-bis(1,1-dimethylethyl)-4-hydroxy-, methyl ester",95
"97","2,6-Diisopropylnaphthalene",96
"98","(E)-methyl 5-(6-fluoropyridin-3-yl)-5-hydroxypent-2-enoate",97
"99","Myristic acid, methyl ester",98
"100","Cyclononasiloxane, octadecamethyl-",99
"101","L-Valine, N-(methoxycarbonyl)-, methyl ester_1",100
"102","3-Morpholino-1,2-propanediol",101
"103","L-Glutamic acid, N-(methoxycarbonyl)-, dimethyl ester",102
"104","L-Methionine, N-(methoxycarbonyl)-, methyl ester",103
"105","5-Aminoimidazole-4-carboxylic acid, methyl ester",104
"106","5-Aminoimidazole-4-carboxylic acid, methyl ester_1",105
"107","Pentadecanoic acid, methyl ester",106
"108","1-Propene-1,2,3-tricarboxylic acid, trimethyl ester, (Z)-",107
"109","L-Phenylalanine, N-(methoxycarbonyl)-, methyl ester",108
"110","(1E)-1-phenyl-1-cyclopropanecarboxaldehyde oxime",109
"111","L-Cysteine N,S-bis(methoxycarbonyl)-, methyl ester",110
"112","2-(3-keto-3-methoxy-propyl)-4-methyl-5-propyl-furan-3-carboxylic acid methyl ester",111
"113","methyl 3-(3,5-dimethoxyphenyl)propanoate",112
"114","2,2,4,4,6,6,8,8,10,10,12,12,14,14,16,16,18,18,20,20-Icosamethylcyclodecasiloxane",113
"115","Hexadecanoic acid, methyl ester",114
"116","Prolinamide, N-methoxycarbonyl-",115
"117","9-Hexadecenoic acid, methyl ester, (Z)-",116
"118","Hexadecanoic acid, methyl ester_1",117
"119","L-Lysine, N2,N6-bis(methoxycarbonyl)-, methyl ester_1",118
"120","1,2-Benzenedicarboxylic acid, bis(2-methylpropyl) ester",119
"121","Heptadecanoic acid, methyl ester",120
"122","Cyclododecasiloxane, tetracosamethyl-",121
"123","Heptadecanoic acid, methyl ester_1",122
"124","Palmitic Acid, TMS derivative",123
"125","Methyl 2,3-di-O-acetyl-4,6-dideoxy-beta,D-erythro-hex-4-enorpyranosyl(1-4)-2,3-di-Omethyl-alpha,D-galactopyranoside",124
"126","Caffeine",125
"127","Dibutyl isophthalate",126
"128","Hexadecanoic acid, 3,7,11,15-tetramethyl-, methyl ester",127
"129","9-Octadecenoic acid (Z)-, methyl ester",128
"130","9,12-Octadecadienoic acid (Z,Z)-, methyl ester",129
"131","N-[2-(4-Methoxyphenyl)-4H-chromen-4-ylidene)-N-methylamine",130
"132","Methyl stearate",131
"133","9,12,15-Octadecatrienoic acid, methyl ester, (Z,Z,Z)-",132
"134","Methyl 2-ethylhexyl phthalate",133
"135","Cyclononasiloxane, octadecamethyl-_1",134
"136","( Ornithine",135
"137","Methyl 9-cis,11-trans-octadecadienoate",136
"138","L-Glutamine, N2-(methoxycarbonyl)-, methyl ester",137
"139","L-Tyrosine, N,O-bis(methoxycarbonyl)-, methyl ester",138
"140","Methyl 9-cis,11-trans-octadecadienoate_1",139
"141","1,4-piperazinediacetic acid, 2-oxo-, dimethyl ester",140
"142","Nonadecanoic acid, methyl ester",141
"143","Carbamic acid, butylmethyl-, methyl ester_1",142
"144","(4-Acetylamino-phenoxy)-acetic acid",143
"145","L-Lysine, N2,N6-bis(methoxycarbonyl)-, methyl ester_2",144
"146","5,8,11,14-Eicosatetraenoic acid, methyl ester, (all-Z)-",145
"147","8,11,14-Eicosatrienoic acid, methyl ester, (Z,Z,Z)-",146
"148","5,8,11,14,17-Eicosapentaenoic acid, methyl ester, (all-Z)-",147
"149","cis-11,14-Eicosadienoic acid, methyl ester",148
"150",".omega.-3 Arachidonic Acid methyl ester",149
"151","Eicosanoic acid, methyl ester",150
"152","2,6-Diamino-N(9)-ethynylpurine",151
"153","( Histidine",152
"154","Palmitoyl chloride",153
"155","2-[2-[bis(2-keto-2-methoxy-ethyl)amino]ethyl-(2-keto-2-methoxy-ethyl)amino]acetic acid methyl ester",154
"156","L-Tyrosine, N-(methoxycarbonyl)-, methyl ester",155
"157","L-Tyrosine, N,O-bis(methoxycarbonyl)-, methyl ester_1",156
"158","Tetracosamethyl-cyclododecasiloxane",157
"159","L-Lysine, N2,N6-bis(methoxycarbonyl)-, methyl ester_3",158
"160","2-Ethoxycarbonyl-2-(4-phenyl-2-butenyl)cyclopentanone",159
"161","Methyl 4,7,10,13,16-docosapentaenoate",160
"162","cis-7,10,13,16-Docosatetraenoic acid, methyl ester",161
"163","4,7,10,13,16,19-Docosahexaenoic acid, methyl ester, (all-Z)-",162
"164","Docosapentaenoic Acid methyl ester",163
"165","11-(3,4-Dimethyl-5-pentyl-2-furyl)-dodecanoic acid, methyl ester",164
"166","Cyclohexane, 1,3,5-triphenyl-",165
"167","Tetracosamethyl-cyclododecasiloxane_1",166
"168","(Z)-Docos-9-enenitrile",167
"169","Phenol, 2,4-bis(1-methyl-1-phenylethyl)-",168
"170","Bis(2-ethylhexyl) phthalate",169
"171","L-Tryptophan, N-(methoxycarbonyl)-, methyl ester",170
"172","Unknown",171
"173","Methyl 5-N-[(1-Phenylcyclohexyl)amino]pentanoate",172
"174","Cholest-5-en-3-ol (3.beta.)-, carbonochloridate",173
"175","13-Docosenamide, (Z)-",174
"176","6-(Perfluorophenyl)uracil",175
"177","Cholesterol, trifluoroacetate",176
"178","Unknown_1",177
"179","Cholesta-4,6-dien-3-ol, benzoate, (3.beta.)-",178
"180","Cholesta-4,6-dien-3-ol, (3.beta.)-",179
"181","Cholest-5-en-3-ol (3.beta.)-, carbonochloridate_1",180
"182","Cholesterol, chlorodifluoroacetate",181
"183","Unknown_2",182
"184","1,8-Dibutyl-naphthalene",183
"185","13-Docosenamide, (Z)-_1",184
"186","Unknown_3",185
"187","13-Docosenamide, (Z)-_2",186
"188","13-Docosenamide, (Z)-_3",187
"189","Unknown_4",188
"190","13-Docosenamide, (Z)-_4",189
"191","Unknown_5",190
"192","Unknown_6",191
"193","Unknown_7",192
"194","Cholest-5-ene, 3.beta.-chloro-",193
"195","Cholest-5-en-3-ol (3.beta.)-",194
"196","Vitamin E",195
"197",".gamma.-Tocopherol, TMS derivative",196
"198","Cholest-5-en-7-one, 3-(acetyloxy)-, (3.beta.)-",197
